image_id,type,condition,method,ground_truth,extracted_text,processing_time,cer,wer
printed_001_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,,0.735,1.0,1.0
printed_001_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,oacooa 0,3.7022,0.8889,1.0
printed_001_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,iniadaiah contohkalmat pertamauntukpenguiar OCR.,1.1306,0.1667,0.875
printed_001_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4937,0.0,0.0
printed_001_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,3.2066,0.0,0.0
printed_001_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4873,0.0,0.0
printed_001_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3909,0.0,0.0
printed_001_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.6582,0.0185,0.125
printed_001_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6306,0.0,0.0
printed_001_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh Kalimat pertama untuk pengujian OCR.,0.501,0.0185,0.125
printed_001_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,untuk adalah contoh kalimat OCR. pengujlan Pertama,2.5353,0.463,0.625
printed_001_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4672,0.0,0.0
printed_002_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ia alah ee Kalung perms mna prea on,0.3919,0.6111,1.0
printed_002_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ql,2.7719,0.9815,1.0
printed_002_blur,printed,blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adatah contoh kalimat pertama untuk pengujia OCR,0.3526,0.0556,0.375
printed_002_dark,printed,dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4483,0.0,0.0
printed_002_dark,printed,dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR_,2.5408,0.0185,0.125
printed_002_dark,printed,dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6528,0.0,0.0
printed_002_normal,printed,normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3967,0.0,0.0
printed_002_normal,printed,normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.5626,0.0185,0.125
printed_002_normal,printed,normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,0.3868,0.0185,0.125
printed_002_rotated,printed,rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,"ni adalah contoh kalimat pertama aa apn OCR,",0.3655,0.2778,0.5
printed_002_rotated,printed,rotated,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,untuk Ini adalah kalimat ) OCR peugujıan Pertana contob,3.0492,0.7222,0.875
printed_002_rotated,printed,rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian OCR,0.3872,0.0185,0.125
printed_003_blur,printed,blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Ini adalah contoh kalimat pertama untuk pengujian,0.4077,0.0926,0.125
printed_003_blur,printed,blur,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,Intadalan conton Kalimat pertama untuk penquan OCR,2.7498,0.1667,0.75
